<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;D;20200410;000000;73.7331000
USDRUB;D;20200412;000000;73.1600000
USDRUB;D;20200413;000000;72.8910000
USDRUB;D;20200414;000000;73.0270000
USDRUB;D;20200415;000000;74.9255000
USDRUB;D;20200416;000000;73.6675000
USDRUB;D;20200417;000000;73.8420000
USDRUB;D;20200419;000000;74.0941000
USDRUB;D;20200420;000000;75.4889000
USDRUB;D;20200421;000000;77.1376000
USDRUB;D;20200422;000000;75.8681000
USDRUB;D;20200423;000000;74.7168000
USDRUB;D;20200424;000000;74.4251000
USDRUB;D;20200426;000000;74.2767000
USDRUB;D;20200427;000000;74.4238000
USDRUB;D;20200428;000000;74.2250000
USDRUB;D;20200429;000000;73.0907000
USDRUB;D;20200430;000000;74.2641400
